"類別","日文","發音","英文翻譯","中文","例句"
"Lesson 28","自分","じぶん","One's self","自己","自分で決めます。"
"Lesson 28","将来","しょうらい","Future","將來","将来のことを考えます。"
"Lesson 28","しばらく","しばらく","A little while","暫時、一陣子","しばらく待ってください。"
"Lesson 28","たいてい","たいてい","Usually, mostly","通常、大多","たいてい七時に起きます。"
"Lesson 28","それに","それに","In addition","而且、再加上","安いです。それに、おいしいです。"
"Lesson 28","それで","それで","And so","所以、因此","雨でした。それで、家にいました。"
"Lesson 28","会話","かいわ","Conversation","會話","日本語の会話を練習します。"
"Lesson 28","お知らせ","おしらせ","Notice","通知","大切なお知らせがあります。"
"Lesson 28","日にち","ひにち","Date","日期","日にちを教えてください。"
"Lesson 28","体育館","たいいくかん","Gymnasium","體育館","体育館で踊ります。"
"Lesson 28","無料","むりょう","Free of charge","免費","入場は無料です。"
"Lesson 28","中央線","ちゅうおうせん","Train line","中央線（電車路線）","中央線で行きます。"
"Lesson 28","西荻窪駅","にしおぎくぼえき","Nearest Station","西荻窪站","西荻窪駅から歩いて五分です。"
"Lesson 28","家賃","やちん","Rental fee","房租","家賃はいくらですか。"
"Lesson 28","敷金","しききん","Deposit money","押金","敷金は二か月分です。"
"Lesson 28","礼金","れいきん","Gift money","禮金（給房東的謝禮）","礼金は一か月分です。"
"Lesson 28","管理費","かんりひ","Maintenance fee","管理費","管理費も払います。"
"Lesson 29","開きます","あきます","[a door] Open","（門）開了","ドアが開きました。"
"Lesson 29","閉まります","しまります","[a door] Close","（門）關了","ドアが閉まっています。"
"Lesson 29","つきます","つきます","[a light] Come on","（燈）亮了","電気がつきました。"
"Lesson 29","消えます","きえます","[a light] Go off, disappear","（燈）滅了、消失","電気が消えました。"
"Lesson 29","込みます","こみます","[a road] Get crowded","（道路）變擁擠","朝は道が込みます。"
"Lesson 29","すきます","すきます","[a road] Get empty","（道路）變空曠","夜は道がすきます。"
"Lesson 29","壊れます","こわれます","[a chair] Break","（椅子）壞了","椅子が壊れました。"
"Lesson 29","割れます","われます","[a glass] Break, smash","（杯子）破了","コップが割れました。"
"Lesson 29","折れます","おれます","[a tree] Break, snap","（樹）折斷了","木が折れました。"
"Lesson 29","破れます","やぶれます","[the paper] Tear","（紙）破了","紙が破れました。"
"Lesson 29","汚れます","よごれます","[the clothes] Get dirty","（衣服）弄髒了","服が汚れました。"
"Lesson 29","付きます","つきます","[a pocket] be attached","（口袋）附著","このかばんにはポケットが付いています。"
"Lesson 29","外れます","はずれます","[a button] be undone","（鈕扣）脫落了","ボタンが外れました。"
"Lesson 29","止まります","とまります","[an elevator] Stop","（電梯）停了","エレベーターが止まりました。"
"Lesson 29","まちがえます","まちがえます","Make a mistake","搞錯、弄錯","電話番号をまちがえました。"
"Lesson 29","落とします","おとします","Drop, lose","掉落、弄丟","財布を落としました。"
"Lesson 29","掛かります","かかります","Be locked","鎖上、上鎖","ドアに鍵が掛かっています。"
"Lesson 29","「お」皿","「お」さら","Plate, dish","盤子","お皿が割れました。"
"Lesson 29","「お」ちゃわん","「お」ちゃわん","Rice bowl","飯碗","お茶わんが割れました。"
"Lesson 29","袋","ふくろ","Bag","袋子","袋が破れました。"
"Lesson 29","財布","さいふ","Wallet, Purse","錢包","財布を落としました。"
"Lesson 29","枝","えだ","Branch","樹枝","木の枝が折れました。"
"Lesson 29","この辺","このへん","This neighborhood, around here","這附近","この辺に銀行はありますか。"
"Lesson 29","～辺","～へん","The place around ~","～附近","駅の辺に店があります。"
"Lesson 29","このくらい","このくらい","Around this size, About this much","大約這樣大、大約這麼多","このくらいでいいですか。"
"Lesson 29","お先にどうぞ。","おさきにどうぞ。","After you, Go ahead please","您先請。","お先にどうぞ。"
"Lesson 29","よかった。","よかった。","Thank goodness!","太好了。","財布が見つかった。よかった。"
"Lesson 29","確か","たしか","I suppose, if I am correct","好像、如果我沒記錯的話","確か、ここに置きました。"
"Lesson 29","網棚","あみだな","Rack","行李架","電車の網棚に荷物を置きます。"
"Lesson 29","地震","じしん","Earthquake","地震","昨日地震がありました。"
"Lesson 29","壁","かべ","Wall","牆壁","壁に絵が掛かっています。"
"Lesson 29","指します","さします","Point","指向","時計の針が十二時を指しています。"
"Lesson 29","針","はり","Hands (of a clock）","（時鐘的）指針","針が三時を指しています。"
"Lesson 29","倒れます","たおれます","Fall down","倒下","地震で棚が倒れました。"
"Lesson 29","方","ほう","Direction","方向","あちらの方に銀行があります。"
"Lesson 29","太っている","ふとっている","Fat","胖的","あの人は太っています。"
"Lesson 29","やせている","やせている","Thin","瘦的","あの人はやせています。"
"Lesson 29","膨らんでいる","ふくらんでいる","Bulging","鼓起的","このかばんは膨らんでいます。"
"Lesson 29","穴が開いている","あながあいている","Have a hole","有洞","この服は穴が開いています。"
"Lesson 29","曲がっている","まがっている","Bent","彎曲的","この線は曲がっています。"
"Lesson 29","ゆがんでいる","ゆがんでいる","Disordered","歪斜的","この絵はゆがんでいます。"
"Lesson 29","へこんでいる","へこんでいる","Dented","凹陷的","車がへこんでいます。"
"Lesson 29","ねじれている","ねじれている","Twisted","扭轉的、扭曲的","ロープがねじれています。"
"Lesson 29","欠けている","かけている","Chipped off","缺角的","このコップは欠けています。"
"Lesson 29","ひびが入っている","ひびがはいっている","Cracked","有裂縫的","お皿にひびが入っています。"
"Lesson 29","腐っている","くさっている","Rotten","腐爛的","野菜が腐っています。"
"Lesson 29","乾いている","かわいている","Dry","乾燥的","洗濯物が乾いています。"
"Lesson 29","ぬれている","ぬれている","Wet","濕的","服がぬれています。"
"Lesson 29","凍っている","こおっている","Frozen","結凍的","道が凍っています。"
"Lesson 30","はります","はります","Put up, post, paste","張貼","壁にポスターをはります。"
"Lesson 30","掛けます","かけます","Hang","掛上","壁に絵を掛けます。"
"Lesson 30","飾ります","かざります","Display, Decorate","裝飾、陳設","棚に花を飾ります。"
"Lesson 30","並べます","ならべます","Arrange, Line up","排列、擺放","本を棚に並べます。"
"Lesson 30","植えます","うえます","Plant","種植","庭に花を植えます。"
"Lesson 30","戻します","もどします","Return, Put Back","放回原處","本を棚に戻します。"
"Lesson 30","まとめます","まとめます","Put ~ together, Put ~ in shape, sum up","整理、統整","荷物をまとめます。"
"Lesson 30","片づけます","かたづけます","Put things in order, tidy up","收拾整理","部屋を片づけます。"
"Lesson 30","しまいます","しまいます","Put things in their proper place","收好、歸位","道具をしまいます。"
"Lesson 30","決めます","きめます","Decide","決定","旅行の日を決めます。"
"Lesson 30","知らせます","しらせます","To inform","通知、告知","友達に知らせます。"
"Lesson 30","相談します","そうだんします","Consult, discuss","商量、諮詢","先生に相談します。"
"Lesson 30","予習します","よしゅうします","Prepare one's lesson","預習","授業の前に予習します。"
"Lesson 30","復習します","ふくしゅうします","Review one's lesson","複習","毎日授業を復習します。"
"Lesson 30","そのままにします","そのままにします","Leave things as they are","保持原樣、放著不管","そのままにしてください。"
"Lesson 30","お子さん","おこさん","Some one else's child","（別人的）孩子","お子さんはおいくつですか。"
"Lesson 30","授業","じゅぎょう","Class","課堂、授課","授業は九時から始まります。"
"Lesson 30","講義","こうぎ","Lecture","講義","大学で講義を聞きます。"
"Lesson 30","予定","よてい","Plan, Schedule","預定、計畫","明日の予定はありますか。"
"Lesson 30","お知らせ","おしらせ","Notice","通知","大切なお知らせがあります。"
"Lesson 30","案内書","あんないしょ","Guide book","指南、簡介冊","案内書を読みます。"
"Lesson 30","ごみ箱","ごみばこ","Trash can, dust bin","垃圾桶","ごみ箱にごみを捨てます。"
"Lesson 30","人形","にんぎょう","Doll","人偶","棚に人形を飾ります。"
"Lesson 30","花瓶","かびん","Vase","花瓶","花瓶に花を飾ります。"
"Lesson 30","鏡","かがみ","Mirror","鏡子","壁に鏡を掛けます。"
"Lesson 30","引き出し","ひきだし","Drawer","抽屜","引き出しの中に入れます。"
"Lesson 30","玄関","げんかん","Front door, porch, entrance hall","玄關","玄関に花を飾ります。"
"Lesson 30","廊下","ろうか","Corridor, hallway","走廊","廊下に荷物を置かないでください。"
"Lesson 30","壁","かべ","Wall","牆壁","壁にポスターをはります。"
"Lesson 30","池","いけ","Pond","池塘","公園に池があります。"
"Lesson 30","交番","こうばん","Police Box","派出所","交番はどこですか。"
"Lesson 30","元の所","もとのところ","Original Place","原來的地方","元の所に戻してください。"
"Lesson 30","周り","まわり","Round, Around","周圍","机の周りを片づけます。"
"Lesson 30","真ん中","まんなか","Center","正中間","部屋の真ん中にテーブルを置きます。"
"Lesson 30","隅","すみ","Corner","角落","部屋の隅に荷物を置きます。"
"Lesson 30","まだ","まだ","Still","還（是）、仍然","まだ終わっていません。"
"Lesson 30","～ほど","～ほど","About~","大約～","三十分ほどかかります。"
"Lesson 30","予定表","よていひょう","Schedule","行程表","予定表を見てください。"
"Lesson 30","ご苦労様","ごくろうさま","Thankyou for your hard work","辛苦了","ご苦労様でした。"
"Lesson 30","希望","きぼう","Hope, request","希望","希望を言ってください。"
"Lesson 30","丸い","まるい","Round, Around","圓的","地球は丸いです。"
"Lesson 30","地球","ちきゅう","Earth","地球","地球は丸いです。"
"Lesson 30","うれしい","うれしい","Glad, happy","高興的","合格してうれしいです。"
"Lesson 30","嫌「な」","いや「な」","Hateful, Disagreeable","討厭的","嫌な仕事です。"
"Lesson 30","目が覚めます","めがさめます","Wake up","醒來","朝六時に目が覚めます。"
"Lesson 30","位置","いち","Location","位置","この椅子の位置を変えます。"
"Lesson 30","上から二段目","うえからにだんめ","The second from top","從上面數第二層","上から二段目に入れてください。"
"Lesson 30","～の横","～のよこ","Beside","～的旁邊","机の横に置いてください。"
"Lesson 30","奥","おく","Inner part","裡面、最深處","棚の奥に入れます。"
"Lesson 30","手前","てまえ","This side","靠近這邊","手前に置いてください。"
"Lesson 30","前から二列目","まえからにれつめ","The second row","從前面數第二排","前から二列目に座ってください。"
"Lesson 30","机の周り","つくえのまわり","Around","桌子周圍","机の周りを片づけます。"
"Lesson 30","斜め前","ななめまえ","Diagonally ahead","斜前方","斜め前に座っています。"
"Lesson 30","斜め後ろ","ななめうしろ","Diagonally Behind","斜後方","斜め後ろに荷物があります。"
"Lesson 30","～のそば","～のそば","Next to, beside","～的旁邊","窓のそばに座ります。"
"Lesson 30","二行目","にぎょうめ","The second line","第二行","二行目を読んでください。"
"Lesson 31","始まります","はじまります","[a ceremony] begin, start","（典禮）開始","式が始まります。"
"Lesson 31","続けます","つづけます","To Continue","繼續","練習を続けます。"
"Lesson 31","見つけます","みつけます","To find","找到","いい仕事を見つけました。"
"Lesson 31","受けます","うけます","Take (an examination)","應考","来月試験を受けます。"
"Lesson 31","入学します","にゅうがくします","Enter (a university)","入學","来年大学に入学します。"
"Lesson 31","卒業します","そつぎょうします","Graduate from (a university)","畢業","来年大学を卒業します。"
"Lesson 31","出席します","しゅっせきします","Attend (a meeting)","出席","会議に出席します。"
"Lesson 31","休憩します","きゅうけいします","Take a break, take a rest","休息","少し休憩します。"
"Lesson 31","連休","れんきゅう","Consecutive holiday","連假","来週は連休です。"
"Lesson 31","作文","さくぶん","Essay, composition","作文、短文","日本語で作文を書きます。"
"Lesson 31","展覧会","てんらんかい","Exhibition","展覽會","美術館で展覧会があります。"
"Lesson 31","結婚式","けっこんしき","Wedding ceremony","婚禮","友達の結婚式に出席します。"
"Lesson 31","「お」葬式","「お」そうしき","Funeral","葬禮","お葬式に出席します。"
"Lesson 31","式","しき","Ceremony","典禮、儀式","式が始まります。"
"Lesson 31","本社","ほんしゃ","Head office","總公司","本社は東京にあります。"
"Lesson 31","支店","してん","Branch office","分公司","大阪に支店があります。"
"Lesson 31","温泉","おんせん","Hot spring, spa","溫泉","温泉に入ります。"
"Lesson 31","お客","おきゃく","Visitor, guest, customer, client","客人、顧客","お客が来ました。"
"Lesson 31","だれか","だれか","Somebody","某個人","だれかいますか。"
"Lesson 31","ずっと","ずっと","All the time","一直、始終","ずっと待っていました。"
"Lesson 31","残ります","のこります","Remain, be left","剩下、留下","仕事が残っています。"
"Lesson 31","月に","つきに","Per month","每月、一個月","月に一回映画を見ます。"
"Lesson 31","普通の","ふつうの","Ordinary, common, usual","普通的、一般的","普通の生活をしています。"
"Lesson 31","嫌「な」","いや「な」","Hateful, disagreeable","討厭的","嫌な仕事は続けられません。"
"Lesson 31","空","そら","Sky","天空","空が青いです。"
"Lesson 31","閉じます","とじます","Close","閉合","目を閉じます。"
"Lesson 31","自由に","じゆうに","Freely","自由地","自由に使ってください。"
"Lesson 31","世界中","せかいじゅう","All over the world","全世界","世界中を旅行したいです。"
"Lesson 31","美しい","うつくしい","Beautiful","美麗的","美しい景色です。"
"Lesson 31","自然","しぜん","Nature","自然","自然がきれいです。"
"Lesson 31","すばらしさ","すばらしさ","Wonderfulness, splendor","美好、壯麗（名詞）","自然のすばらしさを感じます。"
"Lesson 31","薬学","やくがく","Pharmacology","藥學","薬学を勉強しています。"
"Lesson 31","生化学","せいかがく","Biochemistry","生物化學","生化学を研究しています。"
"Lesson 31","生物学","せいぶつがく","Biology","生物學","生物学が好きです。"
"Lesson 31","農学","のうがく","Agriculture","農學","農学を専攻しています。"
"Lesson 31","土木工学","どぼくこうがく","Civil engineering","土木工程","土木工学を勉強しています。"
"Lesson 31","電子工学","でんしこうがく","Electronics","電子工程","電子工学が専門です。"
"Lesson 31","電気工学","でんきこうがく","Electrical Engineering","電機工程","電気工学を専攻しています。"
"Lesson 31","遺伝子工学","いでんしこうがく","Genetic Engineering","基因工程","遺伝子工学を研究しています。"
"Lesson 31","建築学","けんちくがく","Architecture","建築學","建築学を勉強しています。"
"Lesson 31","環境科学","かんきょうかがく","Environmental Science","環境科學","環境科学を専攻しています。"
"Lesson 31","国際関係学","こくさいかんけいがく","International relations","國際關係學","国際関係学を勉強しています。"
"Lesson 31","法律学","ほうりつがく","Law","法律學","法律学を専攻しています。"
"Lesson 31","経営学","けいえいがく","Business administration","經營學","経営学を勉強しています。"
"Lesson 31","社会学","しゃかいがく","Sociology","社會學","社会学が専門です。"
"Lesson 31","言語学","げんごがく","Linguistics","語言學","言語学を研究しています。"
"Lesson 31","心理学","しんりがく","Psychology","心理學","心理学を専攻しています。"
"Lesson 31","哲学","てつがく","Philosophy","哲學","哲学を勉強しています。"
"Lesson 31","宗教学","しゅうきょうがく","Theology","宗教學","宗教学を研究しています。"
"Lesson 31","芸術","げいじゅつ","Arts","藝術","芸術が好きです。"
"Lesson 31","美術","びじゅつ","Fine arts","美術","美術を勉強しています。"
"Lesson 32","運動します","うんどうします","Take exercise","運動","毎日公園で運動します。"
"Lesson 32","成功します","せいこうします","Succeed","成功","実験に成功しました。"
"Lesson 32","失敗します","しっぱいします","Fail (an examination）","失敗","試験に失敗しました。"
"Lesson 32","合格します","ごうかくします","Pass (an examination)","合格","試験に合格しました。"
"Lesson 32","戻ります","もどります","Return","返回","家に戻ります。"
"Lesson 32","やみます","やみます","Stop (rain)","（雨）停了","雨がやみました。"
"Lesson 32","晴れます","はれます","Clear up","放晴","明日は晴れます。"
"Lesson 32","曇ります","くもります","Get cloudy","變陰天","午後から曇ります。"
"Lesson 32","吹きます","ふきます","Blow (wind)","（風）吹","風が吹いています。"
"Lesson 32","治ります","なおります","Recover from, get well","康復、好了","風邪が治りました。"
"Lesson 32","続きます","つづきます","Continue (high temperature)","持續（高溫）","暑い日が続きます。"
"Lesson 32","ひきます","ひきます","Catch (a cold)","感冒","風邪をひきました。"
"Lesson 32","冷やします","ひやします","Cool","冷卻、冰敷","頭を冷やします。"
"Lesson 32","心配「な」","しんぱい「な」","Worried, anxious","擔心的","体のことが心配です。"
"Lesson 32","十分「な」","じゅうぶん「な」","Enough, Sufficient","充分的、足夠的","睡眠が十分ではありません。"
"Lesson 32","おかしい","おかしい","Strange, funny","奇怪的","この音はおかしいです。"
"Lesson 32","うるさい","うるさい","Noisy","吵鬧的","外がうるさいです。"
"Lesson 32","やけどをします","やけどをします","Get burnt","燙傷","お湯でやけどをしました。"
"Lesson 32","けがをします","けがをします","Get injured","受傷","自転車で転んでけがをしました。"
"Lesson 32","せきをします","せきをします","Have a cough","咳嗽","風邪でせきをしています。"
"Lesson 32","太陽","たいよう","Sun","太陽","太陽が出ました。"
"Lesson 32","星","ほし","Star","星星","夜空に星が見えます。"
"Lesson 32","月","つき","Moon","月亮","今夜は月がきれいです。"
"Lesson 32","風","かぜ","Wind","風","風が強いです。"
"Lesson 32","水道","すいどう","Faucet, tap, water supply","自來水","水道の水を使います。"
"Lesson 32","今夜","こんや","This evening","今晚","今夜は雨が降ります。"
"Lesson 32","夕方","ゆうがた","Late afternoon","傍晚","夕方から雨が降ります。"
"Lesson 32","遅く","おそく","Late (time)","晚（時間）","遅く帰りました。"
"Lesson 32","こんなに","こんなに","Like this","這麼、像這樣","こんなに寒いとは思いませんでした。"
"Lesson 32","そんなに","そんなに","Like that","那麼、像那樣","そんなに難しくないと思います。"
"Lesson 32","もしかしたら","もしかしたら","Possibly, perhaps","說不定、也許","もしかしたら雨が降るかもしれません。"
"Lesson 32","それわいけませんね","それはいけませんね","That's too bad","那可不好了、真傷腦筋","それはいけませんね。"
"Lesson 32","胃","い","Stomach","胃","胃が痛いです。"
"Lesson 32","働きすぎ","はたらきすぎ","Working too much","過度工作","働きすぎで体が疲れました。"
"Lesson 32","無理をします","むりをします","Work more than one's capacity","勉強、強撐","無理をしないでください。"
"Lesson 32","ゆっくりします","ゆっくりします","Take one's time","慢慢休息","週末はゆっくりします。"
"Lesson 32","星占い","ほしうらない","Horoscope","星座占卜","星占いを読みます。"
"Lesson 32","牡牛座","おうしざ","Taurus","金牛座","牡牛座の人は優しいです。"
"Lesson 32","困ります","こまります","Be in trouble, have a Problem","困擾、傷腦筋","お金がなくて困ります。"
"Lesson 32","宝くじ","たからくじ","Lottery","彩券","宝くじを買います。"
"Lesson 32","当たります","あたります","Win (a lottery)","中獎","宝くじが当たりました。"
"Lesson 32","健康","けんこう","Health","健康","健康が一番大切です。"
"Lesson 32","恋愛","れんあい","Romantic love","戀愛","恋愛は楽しいです。"
"Lesson 32","恋人","こいびと","Sweet heart, boyfriend, girl friend","戀人、男女朋友","恋人と旅行します。"
"Lesson 32","「お」金持ち","「お」かねもち","Rich person","有錢人","お金持ちになりたいです。"
"Lesson 32","天気予報","てんきよほう","Weather forecast","天氣預報","天気予報を見ます。"
"Lesson 32","降水確率","こうすいかりつ","Probability of Rain","降雨機率","降水確率は七十パーセントです。"
"Lesson 32","最高気温","さいこうきおん","The highest temperature","最高氣溫","最高気温は三十五度です。"
"Lesson 32","最低気温","さいていきおん","The lowest temperature","最低氣溫","最低気温は二十度です。"
"Lesson 32","曇り","くもり","Cloudy","陰天","今日は曇りです。"
"Lesson 32","雪","ゆき","Snow","雪","明日は雪が降ります。"
"Lesson 32","晴れのち曇り","はれのちくもり","Fine, cloudy later","晴轉陰","明日は晴れのち曇りです。"
"Lesson 32","曇り時々雨","くもりときどきあめ","Cloudy, occasional rain","陰時有雨","今日は曇り時々雨です。"
"Lesson 32","曇り所によって雨","くもりところによってあめ","Cloudy, partly rain","陰局部有雨","明日は曇り所によって雨です。"
"Lesson 32","にわか雨","にわかあめ","Shower","陣雨","午後ににわか雨があります。"
"Lesson 32","雷","かみなり","Thunder","打雷","雷が鳴っています。"
"Lesson 32","台風","たいふう","Typhoon","颱風","台風が来ます。"
"Lesson 32","虹","にじ","Rainbow","彩虹","雨の後で虹が出ました。"
"Lesson 32","湿度","しつど","Humidity","濕度","湿度が高いです。"
"Lesson 32","蒸し暑い","むしあつい","Hot and Humid","悶熱的","今日は蒸し暑いです。"
"Lesson 32","さわやか「な」","さわやか「な」","Refreshing","清爽的","今日はさわやかな天気です。"
"Lesson 33","逃げます","にげます","Run away","逃跑、逃離","危ない時は逃げてください。"
"Lesson 33","騒ぎます","さわぎます","Make noise","喧嘩、吵鬧","図書館で騒いではいけません。"
"Lesson 33","あきらめます","あきらめます","Give up","放棄","諦めないでください。"
"Lesson 33","投げます","なげます","Throw","丟、投擲","ボールを投げます。"
"Lesson 33","守ります","まもります","Keep, follow, obey","遵守","規則を守ってください。"
"Lesson 33","上げます","あげます","Raise, Lift","舉起、提高","手を上げてください。"
"Lesson 33","下げます","さげます","Lower, Pull down","降低、放下","音を下げてください。"
"Lesson 33","伝えます","つたえます","Convey (a message)","傳達（訊息）","部長に伝えます。"
"Lesson 33","注意します","ちゅういします","Be careful","注意、小心","車に注意してください。"
"Lesson 33","外します","はずします","Be away","離開（座位）","今席を外しています。"
"Lesson 33","だめ「な」","だめ「な」","Not good, not permitted","不行的、禁止的","ここで遊んではだめです。"
"Lesson 33","席","せき","Seat","座位","席に座ってください。"
"Lesson 33","洗濯機","せんたくき","Washing machine","洗衣機","洗濯機を使います。"
"Lesson 33","～機","～き","Machine","～機","洗濯機が故障しました。"
"Lesson 33","規則","きそく","Regulation, Law","規則、規定","規則を守ります。"
"Lesson 33","使用禁止","しようきんし","Do not use","禁止使用","この機械は使用禁止です。"
"Lesson 33","立入禁止","たちいりきんし","Keep out","禁止進入","ここは立入禁止です。"
"Lesson 33","入口","いりぐち","Entrance","入口","入口はあちらです。"
"Lesson 33","出口","でぐち","Exit","出口","出口はどこですか。"
"Lesson 33","非常口","ひじょうぐち","Emergency Exit","緊急出口","非常口はあそこです。"
"Lesson 33","無料","むりょう","Free of Charge","免費","入場は無料です。"
"Lesson 33","本日休業","ほんじつきゅうぎょう","Closed today","今日公休","この店は本日休業です。"
"Lesson 33","営業中","えいぎょうちゅう","Open for business","營業中","今、営業中です。"
"Lesson 33","使用中","しようちゅう","In use","使用中","このトイレは使用中です。"
"Lesson 33","～中","～ちゅう","～ing","～中（正在）","会議中です。"
"Lesson 33","どういう～","どういう～","What kind of ~","怎樣的～、什麼意思的～","どういう意味ですか。"
"Lesson 33","駐車違反","ちゅうしゃいはん","Parking violation","違規停車","駐車違反で罰金を払いました。"
"Lesson 33","そりゃあ","そりゃあ","Well","那當然、這個嘛","そりゃあ、困りますね。"
"Lesson 33","～以内","～いない","Within ~","～以內","三十分以内に来てください。"
"Lesson 33","警察","けいさつ","Police Station","警察、警察局","警察に連絡します。"
"Lesson 33","罰金","ばつきん","Fine","罰款","罰金を払います。"
"Lesson 33","電報","でんぽう","Telegram","電報","電報を打ちます。"
"Lesson 33","人々","ひとびと","People","人們","人々が集まっています。"
"Lesson 33","急用","きゅうよう","Urgent business","緊急要事","急用ができました。"
"Lesson 33","打ちます","うちます","Send (telegram)","發送（電報）","電報を打ちます。"
"Lesson 33","電報代","でんぽうだい","Telegram charge","電報費用","電報代を払います。"
"Lesson 33","できるだけ","できるだけ","As much as possible","盡可能","できるだけ早く来てください。"
"Lesson 33","短く","みじかく","Shortly, briefly","簡短地","できるだけ短く書いてください。"
"Lesson 33","例えば","たとえば","Example","例如","例えば、こう書きます。"
"Lesson 33","重い病気","おもいびょうき","Serious illness","重病","重い病気になりました。"
"Lesson 33","明日","あす","Tomorrow","明天","明日来てください。"
"Lesson 33","留守","るす","Absence","不在家","今日は留守です。"
"Lesson 33","留守番","るすばん","Looking for a house during the owner's absence","看家","留守番をお願いします。"
"Lesson 33","「お」祝い","「お」いわい","Celebration","賀禮、慶祝","結婚のお祝いをします。"
"Lesson 33","亡くなります","なくなります","Pass away, die","去世","祖父が亡くなりました。"
"Lesson 33","悲しみ","かなしみ","Sorrow, sadness","悲傷、哀愁","悲しみを感じます。"
"Lesson 33","準備中","じゅんびちゅう","In preparation","準備中","今、準備中です。"
"Lesson 33","化粧室","けしょうしつ","Toilet","化妝室、廁所","化粧室はどこですか。"
"Lesson 33","禁煙席","きんえんせき","No smoking seat","禁菸席","禁煙席をお願いします。"
"Lesson 33","予約席","よやくせき","Reserved seat","預約席、預留座位","これは予約席です。"
"Lesson 33","火気厳禁","かきげんきん","Flammable","嚴禁煙火","ここは火気厳禁です。"
"Lesson 33","割れ物注意","われものちゅうい","Fragile","小心易碎","この荷物は割れ物注意です。"
"Lesson 33","運転初心者注意","うんてんしょしんしゃちゅうい","Beginner Driver","注意新手駕駛","運転初心者注意のシールを貼っています。"
"Lesson 33","工事中","こうじちゅう","Under construction","施工中","この道は工事中です。"
"Lesson 33","塩素系漂白剤不可","えんそけいひょうはくざいふか","Don't use chlorine","不可使用含氯漂白劑","この服は塩素系漂白剤不可です。"
"Lesson 33","手洗い","てあらい","Wash by hand","手洗","この服は手洗いしてください。"
"Lesson 33","標識","ひょうしき","Signs","標示、標識","標識を守ってください。"
"Lesson 34","磨きます","みがきます","Brush (teeth), Polish","刷（牙）、擦亮","毎日歯を磨きます。"
"Lesson 34","組み立てます","くみたてます","Assemble","組裝","家具を組み立てます。"
"Lesson 34","折ります","おります","Bend, fold, break, snap","折、摺","紙を折ります。"
"Lesson 34","つけます","つけます","Put (in soy sauce)","沾（醬油）","しょうゆにつけて食べます。"
"Lesson 34","見つかります","みつかります","Be found","被找到","なくした鍵が見つかりました。"
"Lesson 34","します","します","Put on (a tie)","打（領帶）","ネクタイをします。"
"Lesson 34","細い","ほそい","Thin (of small diameter)","細的","この線は細いです。"
"Lesson 34","太い","ふとい","Thick (of large diameter)","粗的","この線は太いです。"
"Lesson 34","盆踊り","ぼんおどり","Bon festival dance","盂蘭盆節舞蹈","夏に盆踊りをします。"
"Lesson 34","家具","かぐ","Furniture","家具","新しい家具を買いました。"
"Lesson 34","説明書","せつめいしょ","Instructions book","說明書","説明書を読んでから組み立てます。"
"Lesson 34","線","せん","Line","線條","この線に沿って折ります。"
"Lesson 34","矢印","やじるし","Arrow","箭頭","矢印の方向に進みます。"
"Lesson 34","黒","くろ","Black","黑色","黒いペンで書きます。"
"Lesson 34","白","しろ","White","白色","白い紙を使います。"
"Lesson 34","赤","あか","Red","紅色","赤い線を引きます。"
"Lesson 34","青","あお","Blue","藍色","青いインクで書きます。"
"Lesson 34","紺","こん","Navy blue, dark blue","深藍色、藏青色","紺のスーツを着ています。"
"Lesson 34","黄色","きいろ","Yellow","黃色","黄色い矢印に従います。"
"Lesson 34","茶色","ちゃいろ","Brown","棕色","茶色のかばんを持っています。"
"Lesson 34","しょうゆ","しょうゆ","Soy sauce","醬油","しょうゆをつけて食べます。"
"Lesson 34","～か～","～か～","~or~","～或～","肉か魚を選んでください。"
"Lesson 34","ゆうべ","ゆうべ","Last night","昨晚","ゆうべは早く寝ました。"
"Lesson 34","さっき","さっき","A short while ago","剛才","さっき電話がありました。"
"Lesson 34","茶道","さどう","Tea ceremony","茶道","茶道を習っています。"
"Lesson 34","お茶をたてます","おちゃをたてます","Make green tea","點茶","茶道でお茶をたてます。"
"Lesson 34","先に","さきに","First","先、提前","先に食べてください。"
"Lesson 34","載せます","のせます","Place on, Load onto","放上、裝上","材料を鍋に載せます。"
"Lesson 34","苦い","にがい","Bitter","苦的","このお茶は少し苦いです。"
"Lesson 34","親子どんぶり","おやこどんぶり","A bowl of cooked rice with chicken and egg","親子丼","親子どんぶりを作ります。"
"Lesson 34","材料","ざいりょう","Material, Ingredient","材料、食材","材料を準備します。"
"Lesson 34","鳥肉","とりにく","Chicken","雞肉","鳥肉を切ります。"
"Lesson 34","たまねぎ","たまねぎ","Onion","洋蔥","たまねぎを切ります。"
"Lesson 34","よんぶんのいち","４ぶんの１","One fourth","四分之一","たまねぎをよんぶんのいちに切ります。"
"Lesson 34","調味料","ちょうみりょう","Seasoning, Flavoring","調味料","調味料を入れます。"
"Lesson 34","なべ","なべ","Pan, pot","鍋子","なべに材料を入れます。"
"Lesson 34","火にかけます","ひにかけます","Put on the stove","放到爐上加熱","なべを火にかけます。"
"Lesson 34","煮ます","にます","Cook, boil","燉煮","材料を煮ます。"
"Lesson 34","煮えます","にえます","Be cooked, be boiled","煮熟了","材料が煮えました。"
"Lesson 34","どんぶり","どんぶり","Ceramic bowl","丼碗","どんぶりにご飯を盛ります。"
